  Grid,   Temperature,   Uvec,   CO,    CO2
   3.717e-02,   3.200e+02,   5.059e-01,  -4.112e-15,  -6.206e-14
   3.730e-02,   3.200e+02,   5.059e-01,  -5.034e-15,  -7.064e-14
   3.742e-02,   3.200e+02,   5.059e-01,  -6.249e-15,  -8.019e-14
   3.755e-02,   3.200e+02,   5.059e-01,  -7.064e-15,  -9.048e-14
   3.767e-02,   3.200e+02,   5.059e-01,  -6.853e-15,  -1.013e-13
   3.780e-02,   3.200e+02,   5.059e-01,  -8.848e-15,  -1.140e-13
   3.792e-02,   3.200e+02,   5.059e-01,  -9.272e-15,  -1.271e-13
   3.805e-02,   3.200e+02,   5.059e-01,  -1.061e-14,  -1.417e-13
   3.817e-02,   3.200e+02,   5.059e-01,  -1.163e-14,  -1.573e-13
   3.830e-02,   3.200e+02,   5.059e-01,  -1.247e-14,  -1.739e-13
   3.842e-02,   3.200e+02,   5.059e-01,  -1.437e-14,  -1.923e-13
   3.855e-02,   3.200e+02,   5.059e-01,  -1.550e-14,  -2.116e-13
   3.867e-02,   3.200e+02,   5.059e-01,  -1.717e-14,  -2.324e-13
   3.880e-02,   3.200e+02,   5.059e-01,  -1.832e-14,  -2.543e-13
   3.892e-02,   3.200e+02,   5.059e-01,  -2.024e-14,  -2.779e-13
   3.905e-02,   3.200e+02,   5.059e-01,  -2.204e-14,  -3.028e-13
   3.917e-02,   3.200e+02,   5.059e-01,  -2.389e-14,  -3.291e-13
   3.930e-02,   3.200e+02,   5.059e-01,  -2.594e-14,  -3.569e-13
   3.942e-02,   3.200e+02,   5.059e-01,  -2.763e-14,  -3.859e-13
   3.955e-02,   3.200e+02,   5.059e-01,  -2.973e-14,  -4.165e-13
   3.967e-02,   3.200e+02,   5.059e-01,  -3.194e-14,  -4.485e-13
   3.980e-02,   3.200e+02,   5.059e-01,  -3.482e-14,  -4.821e-13
   3.992e-02,   3.200e+02,   5.059e-01,  -3.734e-14,  -5.170e-13
   4.005e-02,   3.200e+02,   5.059e-01,  -3.936e-14,  -5.529e-13
   4.018e-02,   3.200e+02,   5.059e-01,  -4.216e-14,  -5.904e-13
   4.030e-02,   3.200e+02,   5.059e-01,  -4.494e-14,  -6.291e-13
   4.043e-02,   3.200e+02,   5.059e-01,  -4.792e-14,  -6.690e-13
   4.055e-02,   3.200e+02,   5.059e-01,  -5.025e-14,  -7.098e-13
